Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AssamUniversity,Chrome 125.0.0.0,,,13-06-2024 14:30:04,13-06-2024 14:41:40,11m - 36.603s,FAILED
,,,,,,,
Test Cases/Assesment1-Assam University/Aboutus,Chrome 125.0.0.0,,,13-06-2024 14:30:04,13-06-2024 14:30:16,12.502s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 14:30:04,13-06-2024 14:30:06,2.088s,PASSED
"navigateToUrl(""https://www.apsc.nic.in/index.asp#latest-advt"")",Chrome 125.0.0.0,,,13-06-2024 14:30:06,13-06-2024 14:30:10,3.711s,PASSED
"click(findTestObject(""Object Repository/AssamUniversity/Page_Assam Public Service Commission/a_About Us""))",Chrome 125.0.0.0,,,13-06-2024 14:30:10,13-06-2024 14:30:11,0.475s,PASSED
"click(findTestObject(""Object Repository/AssamUniversity/Page_Assam Public Service Commission/a_The Commission""))",Chrome 125.0.0.0,,,13-06-2024 14:30:11,13-06-2024 14:30:11,0.719s,PASSED
"click(findTestObject(""Object Repository/AssamUniversity/Page_Assam Public Service Commission/a_About Us""))",Chrome 125.0.0.0,,,13-06-2024 14:30:11,13-06-2024 14:30:12,0.400s,PASSED
"click(findTestObject(""Object Repository/AssamUniversity/Page_Assam Public Service Commission/a_Vision and Mission""))",Chrome 125.0.0.0,,,13-06-2024 14:30:12,13-06-2024 14:30:12,0.566s,PASSED
"click(findTestObject(""Object Repository/AssamUniversity/Page_Assam Public Service Commission/a_About Us""))",Chrome 125.0.0.0,,,13-06-2024 14:30:12,13-06-2024 14:30:13,0.307s,PASSED
"click(findTestObject(""Object Repository/AssamUniversity/Page_Assam Public Service Commission/a_Historical Perspective""))",Chrome 125.0.0.0,,,13-06-2024 14:30:13,13-06-2024 14:30:13,0.542s,PASSED
"click(findTestObject(""Object Repository/AssamUniversity/Page_Assam Public Service Commission/a_About Us""))",Chrome 125.0.0.0,,,13-06-2024 14:30:13,13-06-2024 14:30:13,0.351s,PASSED
"click(findTestObject(""Object Repository/AssamUniversity/Page_Assam Public Service Commission/a_Duties and Functions""))",Chrome 125.0.0.0,,,13-06-2024 14:30:13,13-06-2024 14:30:14,0.335s,PASSED
